"Reference","Value","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Details","Digi-Key_PN","Family","MANUFACTURER","MPN","Manufacturer","Purpose","STANDARD","Sim.Device","Sim.Pins","Status","Qty"
"C1","0.1uF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","","","","","","","","","","","","","","","","1"
"C2","220uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","35V","","","","","1"
"D1, D4, D5","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","","","","","","","D","1=K 2=A","","3"
"D2, D3","LED","LED_THT:LED_D5.0mm","~","","","","","","","","","","","","","","","","2"
"H1, H2","MountingHole","MountingHole:MountingHole_2.1mm","~","","","","","","","","","","","","","","","","2"
"J1","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","~","","","","","","","","","","","","","","","","1"
"J2, J7","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","","","","","","","","","","","","","","","","2"
"J3","Conn_01x12_Pin","Connector_JST:JST_EH_B12B-EH-A_1x12_P2.50mm_Vertical","~","","","","","12 pin JST Connector","","","","","","","","","","","1"
"J4","Conn_01x07_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","Male Header","","","","","","","","","","","1"
"J5","Conn_01x08_Pin","Connector_JST:JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical","~","","","","","8 Pin Connector JST","","","","","","","","","","","1"
"J6","Screw_Terminal_01x03","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~","","","","","","","","","","","","","","","","1"
"JP1, JP2","Jumper_2_Open","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","2"
"K1","SRD-05VDC-SL-C","SRD-05VDC-SL-C:RELAY_SRD-05VDC-SL-C","","","","","","","","","SONGLE RELAY","","","","IPC-7251","","","","1"
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","","","","","","","","","","","","","","","","1"
"R1, R4, R7","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","","","","","","","","","","3"
"R2","330R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","","","","","","","","","","1"
"R3, R6","220R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","","","","","","","","","","2"
"R5","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","","","","","","","","","","1"
"R8","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","","","","1"
"RV1","10K","3306F-1-103:TRIM_3306F-1-103","~","","","","","","","","","","","","","","","","1"
"U1","L7805CV","digikey-footprints:TO-220-3","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Integrated Circuits (ICs)","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","/product-detail/en/stmicroelectronics/L7805CV/497-1443-5-ND/585964","IC REG LINEAR 5V 1.5A TO220AB","","497-1443-5-ND","PMIC - Voltage Regulators - Linear","","L7805CV","STMicroelectronics","","","","","Active","1"
"XA1","Arduino_Nano_Every_Socket","arduino-library:Arduino_Nano_Every_Socket","https://docs.arduino.cc/hardware/nano-every","","","","","","","","","","","","","","","","1"
